lsoa_code,lsoa_name,lsoa21nmw,bng_e,bng_n,lat,long,global_id,local_authority,area_km2,betting_shop_count,imd_score,imd_rank,imd_decile,income_score,income_rank,income_decile,population,shoplifting_rate_1000,theft_from_person_rate_1000,betting_shops_1000,betting_shop_density_km2,population_density,log_population,theft_count,shoplifting_count,theft_from_person_count,bicycle_theft_count,other_theft_count,theft_rate_1000
E01000061,Barking and Dagenham 006C,NA,549508,187003,51.56209945678711,0.15551500022411346,{B502D2E8-ACFF-4741-B6CA-985A4D4AE2F6},Barking and Dagenham,0.6104555211519522,0,55.406,1545,1,0.69,242,1,2070,0.966183574879227,3.864734299516908,0,0,3390.9104402788153,7.635303886259415,23,2,8,1,12,11.11111111111111
E01000062,Barking and Dagenham 006D,NA,549341,186126,51.55426025390625,0.15273599326610565,{819A0B96-30BE-42DD-927B-094E95116AB7},Barking and Dagenham,0.22134286671171616,1,26.18,10394,4,0.356,6946,3,2364,1.6920473773265652,2.1150592216582065,0.4230118443316413,4.517877692902709,10680.262866022003,7.768110378525988,30,4,5,0,21,12.690355329949238
E01000063,Barking and Dagenham 004A,NA,548881,186260,51.55559158325195,0.1461620032787323,{E1A38C98-780D-428A-9B6D-DF4B70D08446},Barking and Dagenham,0.18122079935640473,0,25.377,10883,4,0.326,8277,3,1838,0,0,0,0,10142.323654500762,7.516433302915632,6,0,0,1,5,3.264417845484222
E01000064,Barking and Dagenham 006E,NA,549618,185897,51.55213165283203,0.1566309928894043,{1A73BC66-9740-4047-A5B2-C383B8B9E813},Barking and Dagenham,0.20881683248096453,1,31.351,7649,3,0.385,5842,2,2367,2.112378538234051,1.2674271229404308,0.4224757076468103,4.788885973026905,11335.293098154683,7.769378609513984,24,5,3,0,16,10.139416983523446
E01000065,Barking and Dagenham 007A,NA,548717,185959,51.552921295166016,0.14367100596427915,{C8E299BF-EF32-4A4E-9010-A60A4EB89D87},Barking and Dagenham,0.23355577946735873,0,35.962,5811,2,0.471,3234,1,2051,0,0.4875670404680643,0,0,8781.628117606242,7.62608275807238,9,0,1,0,8,4.388103364212579
E01000066,Barking and Dagenham 011A,NA,546103,185215,51.54692077636719,0.10568699985742568,{E20D7E31-6163-47D1-AAA3-E0C433C88FB7},Barking and Dagenham,0.2449398733002427,0,21.257,13708,5,0.258,11787,4,2681,0,0.3729951510630362,0,0,10945.54334448308,7.893945138235959,7,0,1,0,6,2.6109660574412534
E01000067,Barking and Dagenham 011B,NA,545740,185217,51.54703140258789,0.10045599937438963,{0C07398B-8CA6-4A0F-9C28-306D7D076FF8},Barking and Dagenham,0.19245599089288945,0,24.431,11472,4,0.31,9065,3,2334,0.4284490145672666,0.8568980291345331,0,0,12127.44788650917,7.755338812846501,10,1,2,0,7,4.284490145672665
E01000068,Barking and Dagenham 016E,NA,544859,184756,51.543121337890625,0.08756999671459198,{5FE362F5-75D1-47F3-8451-E1F4E2721A60},Barking and Dagenham,0.33981112836949157,0,23.118,12348,4,0.269,11153,4,1862,0,10.741138560687434,0,0,5479.514484809237,7.529406457837013,43,0,20,2,21,23.09344790547798
E01000069,Barking and Dagenham 011C,NA,545775,184726,51.54261016845703,0.10075700283050536,{EA8F8966-0A7C-40D9-8E3E-8EBE33F4984B},Barking and Dagenham,0.20059325218150276,1,15.416,18866,6,0.172,17964,6,2313,0,0.8646779074794638,0.4323389537397319,4.985212558870974,11530.796648668564,7.746300662231439,16,0,2,1,13,6.917423259835711
E01000070,Barking and Dagenham 011D,NA,545160,185057,51.54573822021485,0.09203200042247772,{BC20A040-5AE3-45E3-8707-622E248E46F5},Barking and Dagenham,0.3917838559217739,2,22.241,12968,4,0.237,13086,4,2174,35.878564857405706,3.679852805887765,0.9199632014719412,5.104855572199312,5548.978006980652,7.684324067681155,110,78,8,4,20,50.59797608095676
E01000071,Barking and Dagenham 011E,NA,545909,184481,51.54037857055664,0.1025869995355606,{809244D9-211B-424A-9BA3-B868F09EC22D},Barking and Dagenham,0.27053549526401144,0,21.718,13366,4,0.276,10812,4,2786,0,2.1536252692031588,0,0,10298.09414576518,7.932362154339751,33,0,6,0,27,11.844938980617373
E01000072,Barking and Dagenham 017E,NA,546500,184735,51.542510986328125,0.1112079992890358,{E6C542A2-F5C1-49BC-99E9-1B09355FCA90},Barking and Dagenham,0.5201042262863507,1,36.794,5523,2,0.457,3596,2,2250,7.555555555555556,3.1111111111111107,0.4444444444444445,1.922691548077204,4326.055983173709,7.718685495198466,34,17,7,0,10,15.111111111111112
E01000073,Barking and Dagenham 012B,NA,546613,185294,51.54750061035156,0.11306899785995483,{5085A0DE-FDBA-4F7B-8443-75B9B64C06EC},Barking and Dagenham,0.28464185261293734,0,30.53,8025,3,0.415,4851,2,1862,0,0.5370569280343717,0,0,6541.553826000392,7.529406457837013,8,0,1,0,7,4.296455424274973
E01000074,Barking and Dagenham 012C,NA,547151,185083,51.54545974731445,0.12073499709367752,{BDFB518D-07B5-477A-BAE6-75C2370A751D},Barking and Dagenham,0.16412914731905748,0,29.284,8640,3,0.39,5680,2,1742,0,1.148105625717566,0,0,10613.593188378987,7.462789157412448,12,0,2,0,10,6.8886337543053955
E01000075,Barking and Dagenham 012D,NA,547650,184901,51.543701171875,0.12784899771213531,{2D1B06E7-5779-4842-A09A-36214E5EFB7F},Barking and Dagenham,0.517518667168664,0,26.014,10481,4,0.305,9284,3,2165,0.4618937644341801,3.233256351039261,0,0,4183.423975495761,7.68017564043659,20,1,7,2,10,9.237875288683602
E01000076,Barking and Dagenham 012E,NA,547148,184650,51.54156875610352,0.12050999701023102,{74019356-FE00-4725-BC88-E70410B6044D},Barking and Dagenham,0.19055535637629328,0,29.935,8315,3,0.367,6515,2,2263,0,0.4418912947414936,0,0,11875.81416253244,7.724446645633537,10,0,1,0,9,4.4189129474149365
E01000077,Barking and Dagenham 008F,NA,547526,185557,51.54962158203125,0.12633700668811798,{7FA5B6F9-216E-4483-81F1-2998DFC1C411},Barking and Dagenham,0.17382458599049772,1,33.764,6646,2,0.406,5123,2,1747,0,0,0.5724098454493417,5.752926114000156,10050.361921158274,7.465655310134056,5,0,0,0,5,2.8620492272467084
E01000078,Barking and Dagenham 007B,NA,547920,185914,51.552730560302734,0.13216499984264374,{A6054253-A745-43F4-8FE2-39FB3136200E},Barking and Dagenham,0.1758364582222309,0,32.5,7165,3,0.403,5232,2,1990,0,1.0050251256281408,0,0,11317.334414714716,7.595889917718538,15,0,2,1,12,7.537688442211055
E01000079,Barking and Dagenham 009E,NA,548357,185228,51.54645156860352,0.13817499577999115,{7B9E7DEB-F84D-46D4-B75A-AF4EB3793589},Barking and Dagenham,0.3097035249547492,0,27.809,9422,3,0.369,6459,2,1771,0,2.258610954263128,0,0,5718.372111711551,7.479299637782834,10,0,4,1,5,5.64652738565782
E01000080,Barking and Dagenham 007C,NA,547793,185387,51.54803085327149,0.13011400401592255,{8767036F-BED4-4F0A-8274-21FF60FC7830},Barking and Dagenham,0.23131273025313295,0,27.365,9673,3,0.345,7406,3,1847,0,0.5414185165132648,0,0,7984.861006044796,7.52131798019924,4,0,1,0,3,2.165674066053059
E01000081,Barking and Dagenham 007D,NA,548383,185642,51.5501594543457,0.13872399926185608,{D8174B79-4D17-4167-87F7-881A1D055DF8},Barking and Dagenham,0.18577225714964407,0,24.864,11202,4,0.332,8044,3,2109,0,0.948316737790422,0,0,11352.6100848371,7.653969180478774,14,0,2,0,12,6.638217164532954
E01000082,Barking and Dagenham 007E,NA,548336,186066,51.55398941040039,0.1382250040769577,{24568F1C-9AF9-402F-BAF1-26BFB352909C},Barking and Dagenham,0.16070601918098518,0,29.663,8446,3,0.395,5506,2,1966,113.42828077314344,0.5086469989827059,0,0,12233.518134662489,7.583756300707112,234,223,1,0,10,119.02339776195319
E01000083,Barking and Dagenham 007F,NA,547656,186004,51.553611755371094,0.12839800119400024,{95FB216F-62E0-405D-AE1D-E732C1917C36},Barking and Dagenham,0.17994298366382905,0,33.329,6814,3,0.424,4551,2,2070,0,0.4830917874396135,0,0,11503.643864587635,7.635303886259415,9,0,1,0,8,4.3478260869565215
E01000084,Barking and Dagenham 013D,NA,548927,184480,51.539581298828125,0.14607299864292145,{58B199A8-9533-4282-A894-FDCEF3C5501E},Barking and Dagenham,0.15002644355209355,2,33.774,6644,2,0.364,6631,2,1451,0,0.6891798759476223,1.3783597518952446,13.330983209673576,9671.62831861818,7.280008252884188,7,0,1,0,6,4.824259131633356
E01000085,Barking and Dagenham 013E,NA,549219,184310,51.53797149658203,0.1502079963684082,{4F24C8CB-F6D2-43B1-AE86-6033DBC49445},Barking and Dagenham,0.1453788199620375,0,36.282,5699,2,0.427,4454,2,1706,1.1723329425556857,0.5861664712778428,0,0,11734.859317509145,7.441906728051625,14,2,1,0,11,8.206330597889801
E01000086,Barking and Dagenham 013F,NA,548930,184228,51.53731155395508,0.14600999653339386,{7DDA20BF-E2AD-4321-85AD-4BC982397C91},Barking and Dagenham,0.14015077235041187,0,33.161,6870,3,0.437,4152,2,1463,0.6835269993164731,0.6835269993164731,0,0,10438.758027976724,7.288244401020124,9,1,1,0,7,6.1517429938482575
E01000087,Barking and Dagenham 020B,NA,549302,183523,51.530879974365234,0.1510709971189499,{B4D9CDDA-3DEB-47FE-8146-A2EDF2D671F6},Barking and Dagenham,0.37253186984034253,0,32.659,7092,3,0.445,3915,2,1771,13.55166572557877,1.6939582156973465,0,0,4753.955683735205,7.479299637782834,41,24,3,2,12,23.150762281197064
