lsoa_code,theft_count,shoplifting_count,theft_from_person_count,bicycle_theft_count,other_theft_count
E01000326,4,0,0,0,4
E01000327,1,0,0,0,1
E01000328,6,0,1,1,4
E01000329,7,0,1,0,6
E01000330,14,2,2,0,10
E01000331,5,0,0,0,5
E01000332,12,0,3,0,9
E01000333,53,34,3,0,16
E01000334,6,1,1,0,4
E01000335,83,48,5,2,28
E01000336,12,0,1,1,10
E01000337,11,2,0,0,9
E01000338,3,0,1,0,2
E01000339,8,0,0,0,8
E01000340,5,2,1,0,2
E01000341,1,0,0,0,1
E01000342,6,0,0,1,5
E01000343,5,0,1,0,4
E01000344,10,6,0,0,4
E01000345,3,0,0,0,3
E01000346,7,1,0,0,6
E01000347,16,10,1,0,5
E01000348,4,2,0,0,2
E01000349,4,0,0,0,4
E01000350,25,19,0,1,5
E01000351,1,0,0,0,1
E01000352,37,29,0,0,8
E01000353,6,0,1,0,5
E01000354,2,0,0,0,2
E01000355,9,1,0,0,8
E01000356,418,408,2,0,8
E01000357,8,0,0,0,8
E01000358,34,22,1,0,11
E01000359,11,6,0,0,5
E01000360,178,74,32,4,68
E01000361,5,0,0,0,5
E01000362,240,128,49,4,59
E01000363,6,0,0,0,6
E01000364,5,0,0,0,5
E01000365,27,14,9,0,4
E01000366,10,4,1,0,5
E01000367,8,1,2,1,4
E01000368,9,0,0,1,8
E01000369,6,0,1,0,5
E01000370,14,6,3,0,5
E01000371,3,0,0,0,3
E01000372,5,1,0,0,4
E01000373,8,0,1,0,7
E01000374,19,4,0,0,15
E01000375,14,5,1,2,6
E01000376,2,0,1,0,1
E01000377,10,0,1,1,8
E01000379,7,1,2,1,3
E01000380,5,0,0,0,5
E01000381,9,0,0,0,9
E01000382,8,0,2,0,6
E01000383,25,9,1,0,15
E01000384,12,0,0,1,11
E01000385,67,47,0,0,20
E01000386,35,18,0,1,16
E01000387,2,0,0,0,2
E01000388,8,1,2,1,4
E01000389,13,2,0,0,11
E01000390,10,0,2,0,8
E01000391,7,0,1,0,6
E01000392,220,167,13,5,35
E01000393,11,1,1,0,9
E01000394,33,28,0,0,5
E01000395,8,0,0,0,8
E01000396,2,0,0,0,2
E01000398,5,0,1,0,4
E01000399,5,0,1,0,4
E01000400,13,0,2,1,10
E01000401,10,1,4,1,4
E01000402,12,0,1,0,11
E01000403,340,242,13,3,82
E01000404,20,0,2,0,18
E01000405,12,2,0,0,10
E01000406,25,12,0,0,13
E01000407,11,2,0,2,7
E01000408,23,0,3,3,17
E01000409,7,2,0,0,5
E01000410,8,3,2,0,3
E01000411,1,0,0,0,1
E01000412,15,0,0,1,14
E01000413,27,25,1,1,0
E01000414,81,45,5,4,27
E01000415,1,0,0,0,1
E01000416,47,22,4,1,20
E01000417,25,1,7,5,12
E01000418,18,0,3,2,13
E01000419,2,0,0,0,2
E01000420,7,0,0,1,6
E01000421,4,0,1,0,3
E01000423,5,3,1,0,1
E01000424,15,2,0,0,13
E01000425,4,0,0,0,4
E01000426,13,2,1,1,9
E01000427,8,0,0,0,8
E01000428,33,4,6,2,21
E01000429,11,0,1,1,9
E01000430,12,0,1,2,9
E01000431,35,9,3,0,23
E01000433,47,33,4,0,10
E01000434,5,0,1,0,4
E01000435,10,2,0,0,8
E01000436,6,0,0,0,6
E01000437,2,0,0,0,2
E01000438,4,0,0,2,2
E01000439,39,12,3,0,24
E01000440,3,0,1,0,2
E01000441,16,1,1,1,13
E01000442,14,6,2,0,6
E01000443,5,0,0,0,5
E01000444,8,0,1,0,7
E01000445,5,2,0,0,3
